"index","sample","n","Q1","Q2","Q3","Q4","Q5","p.trend","linear","p.nonlinear"
"1","All-Cause Mortality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Food Insecurity"," >= 2 and < 6 years",600,"1.00","0.78 (0.38-1.58)","1.07 (0.57-2.02)","0.87 (0.42-1.77)","1.34 (0.67-2.69)","0.24","1.18 (0.93-1.48)","0.94"
"3","Age"," >= 2 and < 6 years",600,"1.00","0.97 (0.50-1.88)","0.93 (0.42-2.03)","0.84 (0.40-1.80)","1.66 (0.83-3.34)","0.08","1.19 (0.95-1.48)","0.72"
"4","Household Size"," >= 2 and < 6 years",600,"1.00","1.11 (0.66-1.87)","0.96 (0.52-1.75)","1.06 (0.63-1.77)","0.58 (0.30-1.12)","0.11","0.85 (0.70-1.02)","0.33"
"5","Food Assistance (SNAP)"," >= 2 and < 6 years",600,"1.00","1.68 (0.97-2.91)","1.56 (0.95-2.55)","1.16 (0.66-2.04)","1.88 (1.01-3.48)*","0.17","1.10 (0.87-1.39)","0.96"
"6","Modified Western"," >= 2 and < 6 years",600,"1.00","1.08 (0.60-1.93)","1.21 (0.73-2.01)","0.99 (0.52-1.86)","0.95 (0.54-1.70)","0.80","0.96 (0.78-1.18)","0.92"
"7","Prudent"," >= 2 and < 6 years",600,"1.00","1.04 (0.58-1.86)","1.10 (0.58-2.11)","1.01 (0.55-1.83)","0.63 (0.35-1.13)","0.08","0.92 (0.75-1.12)","0.59"
"8","Cancer-Specific Mortality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Food Insecurity"," >= 2 and < 6 years",600,"1.00","0.50 (0.20-1.22)","0.80 (0.39-1.63)","0.61 (0.24-1.52)","0.54 (0.25-1.17)","0.28","0.86 (0.64-1.16)","0.94"
"10","Age"," >= 2 and < 6 years",600,"1.00","0.55 (0.20-1.50)","0.39 (0.16-0.94)*","0.68 (0.32-1.43)","0.73 (0.33-1.61)","0.80","0.95 (0.68-1.34)","0.95"
"11","Household Size"," >= 2 and < 6 years",600,"1.00","0.65 (0.32-1.32)","0.63 (0.27-1.45)","0.69 (0.33-1.43)","0.19 (0.08-0.46)**","< 0.01**","0.70 (0.56-0.88)**","0.50"
"12","Food Assistance (SNAP)"," >= 2 and < 6 years",600,"1.00","1.13 (0.53-2.39)","1.42 (0.72-2.79)","1.02 (0.42-2.46)","1.03 (0.40-2.67)","0.98","0.86 (0.60-1.24)","0.95"
